GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017,GEOID10,DISTRICT,PSA,NAME,POLDIST_ID,GIS_ID,SECTOR
1000000US110010076013012,"Block 3012, Block Group 3, Census Tract 76.01, District of Columbia, District of Columbia",57,26,29,1,0,0,0,1,57,57,26,29,1,0,0,0,1,0,0,0,0,0,0,0,0,110010076013012,6,607,607,6,psa_10,6D2
1000000US110010080022001,"Block 2001, Block Group 2, Census Tract 80.02, District of Columbia, District of Columbia",86,25,57,0,0,0,0,4,86,85,24,57,0,0,0,0,4,1,1,0,0,0,0,0,0,110010080022001,1,108,108,1,psa_17,1D2
1000000US110010088031009,"Block 1009, Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia",108,0,99,0,6,0,0,3,108,106,0,99,0,6,0,0,1,2,0,0,0,0,0,0,2,110010088031009,5,506,506,5,psa_26,5D3
1000000US110010094004017,"Block 4017, Block Group 4, Census Tract 94, District of Columbia, District of Columbia",77,16,58,0,1,0,0,2,77,70,9,58,0,1,0,0,2,7,7,0,0,0,0,0,0,110010094004017,5,503,503,5,psa_45,5D2
1000000US110010107002016,"Block 2016, Block Group 2, Census Tract 107, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010107002016,2,208,208,2,psa_33,2D3
1000000US110010009012002,"Block 2002, Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",18,14,0,0,0,0,0,4,18,18,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,110010009012002,2,205,205,2,psa_46,2D2
1000000US110010026001006,"Block 1006, Block Group 1, Census Tract 26, District of Columbia, District of Columbia",46,34,10,0,0,0,0,2,46,45,33,10,0,0,0,0,2,1,1,0,0,0,0,0,0,110010026001006,4,404,404,4,psa_48,4D3
1000000US110010078071008,"Block 1008, Block Group 1, Census Tract 78.07, District of Columbia, District of Columbia",84,0,82,1,0,0,0,1,84,84,0,82,1,0,0,0,1,0,0,0,0,0,0,0,0,110010078071008,6,608,608,6,psa_19,6D1
1000000US110010062021131,"Block 1131, Block Group 1, Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010062021131,1,102,102,1,psa_18,1D1
1000000US110010075041002,"Block 1002, Block Group 1, Census Tract 75.04, District of Columbia, District of Columbia",27,0,25,0,0,0,2,0,27,25,0,25,0,0,0,0,0,2,0,0,0,0,0,2,0,110010075041002,7,701,701,7,psa_9,7D1
1000000US110010005021002,"Block 1002, Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",188,173,6,0,4,0,2,3,188,175,163,4,0,4,0,1,3,13,10,2,0,0,0,1,0,110010005021002,2,204,204,2,psa_44,2D2
1000000US110010023012014,"Block 2014, Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia",67,20,40,0,0,0,0,7,67,57,15,37,0,0,0,0,5,10,5,3,0,0,0,0,2,110010023012014,4,407,407,4,psa_47,4D2
1000000US110010062021194,"Block 1194, Block Group 1, Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010062021194,1,103,103,1,psa_12,1D1
1000000US110010095052018,"Block 2018, Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",35,4,30,0,0,0,0,1,35,34,3,30,0,0,0,0,1,1,1,0,0,0,0,0,0,110010095052018,4,406,406,4,psa_54,4D2
1000000US110010056002010,"Block 2010, Block Group 2, Census Tract 56, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010056002010,2,206,206,2,psa_29,2D2
1000000US110010010016007,"Block 6007, Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia",48,42,1,1,1,0,3,0,48,42,39,1,1,1,0,0,0,6,3,0,0,0,0,3,0,110010010016007,2,202,202,2,psa_52,2D1
1000000US110010021022008,"Block 2008, Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia",161,14,140,0,0,0,5,2,161,146,11,134,0,0,0,0,1,15,3,6,0,0,0,5,1,110010021022008,4,403,403,4,psa_51,4D1
1000000US110010014023009,"Block 3009, Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia",31,25,4,0,0,0,0,2,31,30,24,4,0,0,0,0,2,1,1,0,0,0,0,0,0,110010014023009,2,203,203,2,psa_50,2D1
1000000US110010096021026,"Block 1026, Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010096021026,6,601,601,6,psa_30,6D1
1000000US110010095071003,"Block 1003, Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",194,3,184,1,0,0,5,1,194,189,3,184,1,0,0,0,1,5,0,0,0,0,0,5,0,110010095071003,4,406,406,4,psa_54,4D2
1000000US110010074071009,"Block 1009, Block Group 1, Census Tract 74.07, District of Columbia, District of Columbia",43,0,42,0,0,0,1,0,43,42,0,42,0,0,0,0,0,1,0,0,0,0,0,1,0,110010074071009,7,703,703,7,psa_8,7D1
1000000US110010039003001,"Block 3001, Block Group 3, Census Tract 39, District of Columbia, District of Columbia",116,61,34,0,9,0,12,0,116,95,50,34,0,9,0,2,0,21,11,0,0,0,0,10,0,110010039003001,3,303,303,3,psa_37,3D3
1000000US110010093011000,"Block 1000, Block Group 1, Census Tract 93.01, District of Columbia, District of Columbia",96,18,73,0,3,0,2,0,96,95,18,73,0,3,0,1,0,1,0,0,0,0,0,1,0,110010093011000,5,504,504,5,psa_43,5D2
1000000US110010073011110,"Block 1110, Block Group 1, Census Tract 73.01, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010073011110,7,708,708,7,psa_1,7D3
1000000US110010009022037,"Block 2037, Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010009022037,2,205,205,2,psa_46,2D2
1000000US110010032002005,"Block 2005, Block Group 2, Census Tract 32, District of Columbia, District of Columbia",102,34,62,0,0,0,5,1,102,94,32,62,0,0,0,0,0,8,2,0,0,0,0,5,1,110010032002005,4,409,409,4,psa_41,4D3
1000000US110010076033000,"Block 3000, Block Group 3, Census Tract 76.03, District of Columbia, District of Columbia",115,7,103,1,0,0,0,4,115,113,7,102,1,0,0,0,3,2,0,1,0,0,0,0,1,110010076033000,6,606,606,6,psa_7,6D2
1000000US110010104002021,"Block 2021, Block Group 2, Census Tract 104, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010104002021,7,703,703,7,psa_8,7D1
1000000US110010010023000,"Block 3000, Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010010023000,2,202,202,2,psa_52,2D1
1000000US110010018031015,"Block 1015, Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010018031015,4,402,402,4,psa_53,4D1
1000000US110010046002012,"Block 2012, Block Group 2, Census Tract 46, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010046002012,3,308,308,3,psa_27,3D2
1000000US110010066001021,"Block 1021, Block Group 1, Census Tract 66, District of Columbia, District of Columbia",38,37,0,0,0,0,0,1,38,36,35,0,0,0,0,0,1,2,2,0,0,0,0,0,0,110010066001021,1,107,107,1,psa_16,1D2
1000000US110010077082007,"Block 2007, Block Group 2, Census Tract 77.08, District of Columbia, District of Columbia",125,0,118,0,0,0,0,7,125,124,0,117,0,0,0,0,7,1,0,1,0,0,0,0,0,110010077082007,6,603,603,6,psa_15,6D3
1000000US110010068011006,"Block 1006, Block Group 1, Census Tract 68.01, District of Columbia, District of Columbia",132,30,96,0,2,0,0,4,132,130,28,96,0,2,0,0,4,2,2,0,0,0,0,0,0,110010068011006,1,107,107,1,psa_16,1D2
1000000US110010027023016,"Block 3016, Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010027023016,3,303,303,3,psa_37,3D3
1000000US110010076051009,"Block 1009, Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia",57,0,57,0,0,0,0,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,110010076051009,6,607,607,6,psa_10,6D2
1000000US110010078031002,"Block 1002, Block Group 1, Census Tract 78.03, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010078031002,6,602,602,6,psa_25,6D1
1000000US110010078082015,"Block 2015, Block Group 2, Census Tract 78.08, District of Columbia, District of Columbia",36,0,36,0,0,0,0,0,36,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,110010078082015,6,608,608,6,psa_19,6D1
1000000US110010073043004,"Block 3004, Block Group 3, Census Tract 73.04, District of Columbia, District of Columbia",54,2,51,0,0,0,0,1,54,54,2,51,0,0,0,0,1,0,0,0,0,0,0,0,0,110010073043004,7,705,705,7,psa_3,7D2
1000000US110010077091005,"Block 1005, Block Group 1, Census Tract 77.09, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010077091005,6,605,605,6,psa_11,6D2
1000000US110010077092010,"Block 2010, Block Group 2, Census Tract 77.09, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010077092010,6,605,605,6,psa_11,6D2
1000000US110010094003015,"Block 3015, Block Group 3, Census Tract 94, District of Columbia, District of Columbia",58,6,47,0,0,0,0,5,58,58,6,47,0,0,0,0,5,0,0,0,0,0,0,0,0,110010094003015,5,503,503,5,psa_45,5D2
1000000US110010001001001,"Block 1001, Block Group 1, Census Tract 1, District of Columbia, District of Columbia",30,25,0,0,1,0,4,0,30,26,25,0,0,1,0,0,0,4,0,0,0,0,0,4,0,110010001001001,2,206,206,2,psa_29,2D2
1000000US110010035002000,"Block 2000, Block Group 2, Census Tract 35, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010035002000,3,304,304,3,psa_36,3D1
